csvDrug_SMILES,Target_Sequence,Is_Active_Binder,Feature_1,Feature_2,Feature_3,Feature_4
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C3=CN=CC=C3)C#CC4=CN=C5N4C=C(N=C5)C,P11362,1,0.52,0.88,0.12,0.44
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C3=CN=CC=C3)C#CC4=CN=C5N4C=C(N=C5)C,P35968,1,0.51,0.85,0.14,0.40
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C3=CN=CC=C3)C#CC4=CN=C5N4C=C(N=C5)C,P12916,0,0.22,0.31,0.78,0.85
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=C(N3)C=C)C4=CC=CC=C4,P11362,1,0.48,0.79,0.22,0.39
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=C(N3)C=C)C4=CC=CC=C4,P35968,1,0.45,0.81,0.19,0.33
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=C(N3)C=C)C4=CC=CC=C4,O14757,0,0.11,0.15,0.88,0.92
CC1=CC(=C(N1)C=C2C3=C(C=C2)C(=O)NC3=O)C,P11362,1,0.61,0.74,0.25,0.51
CC1=CC(=C(N1)C=C2C3=C(C=C2)C(=O)NC3=O)C,Q15303,0,0.15,0.22,0.81,0.79
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,Q05655,1,0.59,0.80,0.21,0.48
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,O14757,0,0.08,0.11,0.92,0.95
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,P35968,1,0.55,0.86,0.15,0.42
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,P11362,0,0.20,0.28,0.82,0.81
CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C4C=CN=C4N=C(C=C3)NC5=CC=C(C=C5)OCCN6CCOCC6,P11362,1,0.66,0.92,0.08,0.55
CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C4C=CN=C4N=C(C=C3)NC5=CC=C(C=C5)OCCN6CCOCC6,P00533,0,0.14,0.18,0.85,0.89
CCN(CC)CCOCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,Q15303,1,0.50,0.77,0.23,0.36
CCN(CC)CCOCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,P12916,0,0.19,0.24,0.79,0.82
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NC3)C=CC4=CC=CC=N4,P35968,1,0.53,0.84,0.16,0.41
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NC3)C=CC4=CC=CC=N4,O14757,0,0.12,0.14,0.89,0.90
CC1=C(C(=O)N(C2=CC=CC=C21)C)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C#N,P11362,1,0.49,0.78,0.21,0.38
CC1=C(C(=O)N(C2=CC=CC=C21)C)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C#N,Q05655,0,0.21,0.26,0.80,0.83
CS(=O)(=O)CCNCC1=CC=O1,P11362,0,0.05,0.08,0.95,0.97
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C3=CN=CC=C3)C#CC4=CN=C5N4C=C(N=C5)C,O14757,0,0.15,0.22,0.84,0.81
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=C(N3)C=C)C4=CC=CC=C4,P00533,1,0.44,0.76,0.21,0.32
CC1=CC(=C(N1)C=C2C3=C(C=C2)C(=O)NC3=O)C,P12916,0,0.18,0.24,0.82,0.80
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,P35968,1,0.54,0.81,0.18,0.43
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Q05655,0,0.22,0.29,0.79,0.84
CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C4C=CN=C4N=C(C=C3)NC5=CC=C(C=C5)OCCN6CCOCC6,Q15303,1,0.61,0.89,0.11,0.51
CCN(CC)CCOCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,P11362,0,0.24,0.33,0.76,0.79
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NC3)C=CC4=CC=CC=N4,P00533,1,0.49,0.80,0.18,0.37
CC1=C(C(=O)N(C2=CC=CC=C21)C)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C#N,P35968,0,0.25,0.31,0.77,0.81
CS(=O)(=O)CCNCC1=CC=O1,P35968,0,0.04,0.06,0.96,0.98
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C3=CN=CC=C3)C#CC4=CN=C5N4C=C(N=C5)C,Q05655,1,0.56,0.87,0.11,0.49
CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=C(N3)C=C)C4=CC=CC=C4,P12916,0,0.19,0.23,0.81,0.84
CC1=CC(=C(N1)C=C2C3=C(C=C2)C(=O)NC3=O)C,P00533,1,0.58,0.71,0.29,0.46
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C,Q15303,0,0.21,0.27,0.83,0.81
