SMILES,Mol_Weight,Atom_Count,EGFR,VEGFR2,CHK1,BACE1,GLP1R,HIA,BBB,CYP2D6,hERG
CC1=C(C=C(C=C1)C(=O)NC2=CC),520,38,1,1,0,0,0,1,0,1,1
CNC(=O)C1=CC=CC=C1SC2=CC3,380,28,1,1,0,0,0,1,1,1,1
CC1=CC(=C(N1)C=C2C3=C),310,22,1,0,0,0,0,1,0,0,0
CN1C=C(C2=CC=CC=C21)C3=C,410,31,0,0,1,0,1,1,1,0,0
COC1=C(C=C2C(=C1)C),470,34,1,1,0,0,0,1,0,1,1
CC(C)(C)C1=CC(=NO1)NC,610,45,0,0,1,1,0,0,0,1,1
CCN(CC)CCOCCN1C=C,490,36,0,1,0,0,1,1,1,0,0
CNC(=O)C1=CC=CC=C1SC2,390,29,1,1,0,0,0,1,0,1,1
CC1=C(C(=O)N(C2=CC=CC),430,32,0,0,0,1,1,1,1,0,0
CS(=O)(=O)CCNCC1=CC=O1,210,14,0,0,0,0,0,1,0,0,0
CC1=C(C=C(C=C1)C(=O)NC2),520,38,0,0,1,1,0,1,0,1,1
CNC(=O)C1=CC=CC=C1SC2=CC,380,28,0,1,0,0,1,1,1,0,0
CC1=CC(=C(N1)C=C2C3=C),310,22,1,1,0,0,0,1,0,0,0
CN1C=C(C2=CC=CC=C21)C3=C,410,31,0,1,1,1,0,1,0,1,1
COC1=C(C=C2C(=C1)C),470,34,0,0,0,0,0,1,1,0,0
CC(C)(C)C1=CC(=NO1)NC,610,45,0,1,1,1,0,0,0,1,1
CCN(CC)CCOCCN1C=C,490,36,1,0,0,0,1,1,1,0,0
CNC(=O)C1=CC=CC=C1SC2,390,29,0,0,0,0,0,1,0,0,0
CC1=C(C(=O)N(C2=CC=CC),430,32,1,1,0,1,0,1,1,1,1
CS(=O)(=O)CCNCC1=CC=O1,210,14,0,0,1,0,1,0,0,0,0
CC1=C(C=C(C=C1)C(=O)),520,38,0,1,1,1,1,1,0,1,1
CNC(=O)C1=CC=CC=C1SC2=C,380,28,1,0,0,0,0,1,1,0,0
CC1=CC(=C(N1)C=CC),310,22,0,0,0,0,0,1,0,0,0
CN1C=C(C2=C)C3=C,410,31,1,1,0,1,0,1,1,1,1
COC1=C(C=C2C(=C1)),470,34,0,0,1,1,1,1,0,0,0
CC(C)(C)C1=CC(=NO1),610,45,1,1,0,0,0,0,0,1,1
CCN(CC)CCOCCN1C=C(C2),490,36,0,0,1,1,1,1,1,0,0
CNC(=O)C1=CC=C,390,29,0,1,0,0,0,1,0,1,1
CC1=C(C(=O)N),430,32,1,0,0,0,0,1,1,0,0
CS(=O)(=O)CCNCC1,210,14,0,0,0,0,0,1,0,0,0
CC1=C(C=C(C=C1)),520,38,1,1,1,0,0,1,0,1,1
CNC(=O)C1=C,380,28,0,0,0,0,0,1,1,0,0
CC1=CC(=C),310,22,1,0,1,1,0,1,0,0,0
CN1C=C(C2),410,31,0,1,0,0,1,1,1,0,0
COC1=C,470,34,1,1,0,0,0,1,0,1,1
CC(C)(C),610,45,0,0,1,1,1,0,0,1,1
CCN(CC),490,36,1,1,1,0,1,1,1,0,0
CNC(=O),390,29,0,0,0,0,0,1,0,0,0
CC1=C,430,32,1,1,0,1,0,1,1,1,1
CS(=O),210,14,0,0,0,0,0,1,0,0,0
